Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
OnePlus,Y Series,shibuya,948MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Oneplus,BE2029,OnePlusN10,5656MB,Phone,Qualcomm SM6350,Qualcomm Adreno 619 (565 MHz),1080x2400,450,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Onix,AT101-1118,AT101-1118,1029MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,27,2.0
Onkyo,DP-CMX1,Gravity_128,3003MB,Phone,Qualcomm MSM8956,Qualcomm Adreno 510 (600 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,23,3.1
Onkyo,DP-X1A,Rai_Zin2R_64,1969MB,Phone,Qualcomm APQ8074,Qualcomm Adreno 330 (450 MHz),720x1280,320,armeabi;armeabi-v7a,22,3.0
Onkyo,DP-X1,Rai_Zin_32,1969MB,Phone,Qualcomm APQ8074,Qualcomm Adreno 330 (450 MHz),720x1280,320,armeabi;armeabi-v7a,22,3.0
Onn (Walmart),100005207,100005207,2061MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
Onn (Walmart),100005208,100005208,2061MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
Onn (Walmart),100005208-CA,100005208-CA,2061MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
Onn (Walmart),100005209,100005209,2061MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
Onn (Walmart),100011886A,100011886A,2024MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Onn (Walmart),100011886CA,100011886CA,2023MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Onn (Walmart),100015685-E,100015685-E,2055MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
Onn (Walmart),ONA19TB002,ONA19TB002,2061MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
Onn (Walmart),ONA19TB003,ONA19TB003,2061MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
Onn (Walmart),ONA19TB007,ONA19TB007,2061MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
Onn (Walmart),TBBVNC100005207,TBBVNC100005207,2061MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,28,3.1
